City,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029
Қазақстан Республикасы,10871678,10874656,11009372,11030989,11359923,11463066,11147894,11155952,12230472,12045719,12302599
Ақмола,438212,443921,442158,447220,465703,468228,478246,461978,475463,485282,495966
Ақтөбе,526600,527029,522184,523560,535142,532674,549926,524621,515086,548198,536652
Алматы,1168239,1168192,1159969,1169073,868829,856863,859142,771381,710767,635085,546377
Атырау,370213,369197,364028,362310,390273,386705,389842,378212,408391,383485,424340
Батыс Қазақстан,389312,391978,390026,392888,401595,402014,418833,411895,402673,394324,407195
Жамбыл,622820,623975,618759,622462,672359,671298,677316,690481,695021,677516,694122
Қарағанды,816420,827184,825820,835747,669283,672683,642479,601403,614004,572021,528091
Қостанай,529124,537736,538489,546818,499164,504132,499012,511812,507053,458958,476634
Қызылорда,458670,457970,452602,451951,460958,458297,478538,446213,457629,448820,448266
Маңғыстау,405858,399077,389117,382756,425173,415671,404335,425702,432994,414251,438656
Павлодар,447888,454886,454768,462054,446109,449911,459730,429631,451745,438611,457232
Солтүстік Қазақстан,318129,324544,326461,333739,314521,319499,326360,330941,322079,320803,311154
Түркістан,1085391,1084661,1068281,1056925,1135699,1123825,1141847,1088181,1106197,1200491,1176408
Шығыс Қазақстан,792062,805643,808322,824879,417601,422610,369077,288346,213028,124168,38055
Астана қаласы,746541,718071,694254,671977,873770,833686,869333,869825,901636,919225,916270
Алматы қаласы,1289449,1264486,1226014,1200889,1355307,1316830,1370198,1315384,1398216,1409298,1405766
Шымкент қаласы,626061,610822,593404,586430,672393,658376,666086,700953,653503,688857,723605
