2019,2020,2021,2022,2023,City,2024,2025,2026,2027,2028,2029
125.0,125.0,122.0,116.0,112.0,Қазақстан Республикасы,,,,,,
0.0,0.0,0.0,3.0,3.0,Ақмола,,,,,,
4.0,4.0,4.0,4.0,4.0,Ақтөбе,,,,,,
6.0,6.0,6.0,6.0,5.0,Алматы,,,,,,
3.0,3.0,2.0,1.0,1.0,Атырау,,,,,,
3.0,3.0,3.0,3.0,3.0,Батыс Қазақстан,,,,,,
4.0,4.0,4.0,4.0,4.0,Жамбыл,,,,,,
3.0,2.0,2.0,2.0,2.0,Қарағанды,,,,,,
0.0,0.0,0.0,1.0,1.0,Қостанай,,,,,,
9.0,9.0,9.0,8.0,8.0,Қызылорда,,,,,,
7.0,6.0,6.0,6.0,6.0,Маңғыстау,,,,,,
3.0,4.0,3.0,3.0,3.0,Павлодар,,,,,,
2.0,2.0,2.0,1.0,1.0,Солтүстік Қазақстан,,,,,,
4.0,4.0,4.0,4.0,4.0,Түркістан,,,,,,
2.0,2.0,2.0,2.0,2.0,Шығыс Қазақстан,,,,,,
2.0,3.0,3.0,3.0,2.0,Астана қаласы,,,,,,
0.0,0.0,0.0,1.0,1.0,Алматы қаласы,,,,,,
7.0,7.0,7.0,3.0,3.0,Шымкент қаласы,,,,,,
15.0,15.0,15.0,14.0,14.0,,,,,,,
41.0,41.0,42.0,39.0,37.0,,,,,,,
10.0,10.0,8.0,8.0,8.0,,,,,,,
,,,,1.0,Қазақстан Республикасы,1.0,1.0,1.0,1.0,1.0,1.0
,,,,1.0,Ақмола,1.0,1.0,1.0,2.0,2.0,2.0
,,,,1.0,Ақтөбе,1.0,1.0,1.0,1.0,1.0,1.0
,,,,1.0,Алматы,1.0,1.0,1.0,1.0,1.0,1.0
,,,,0.0,Атырау,-0.0,-0.0,-0.0,-1.0,-1.0,-1.0
,,,,1.0,Батыс Қазақстан,1.0,1.0,1.0,1.0,1.0,1.0
,,,,1.0,Жамбыл,1.0,1.0,1.0,1.0,1.0,1.0
,,,,0.0,Қарағанды,0.0,0.0,0.0,0.0,-0.0,-0.0
,,,,0.0,Қостанай,0.0,0.0,0.0,0.0,0.0,1.0
,,,,2.0,Қызылорда,2.0,2.0,2.0,2.0,2.0,2.0
,,,,2.0,Маңғыстау,1.0,1.0,1.0,1.0,1.0,1.0
,,,,1.0,Павлодар,1.0,1.0,1.0,1.0,1.0,0.0
,,,,0.0,Солтүстік Қазақстан,0.0,0.0,-0.0,-0.0,-0.0,-0.0
,,,,0.0,Түркістан,0.0,0.0,0.0,0.0,0.0,0.0
,,,,0.0,Шығыс Қазақстан,0.0,0.0,0.0,0.0,0.0,0.0
,,,,1.0,Астана қаласы,1.0,1.0,1.0,1.0,1.0,1.0
,,,,0.0,Алматы қаласы,0.0,0.0,0.0,0.0,0.0,0.0
,,,,1.0,Шымкент қаласы,0.0,0.0,0.0,-0.0,-0.0,-1.0
