City,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029
Қазақстан Республикасы,5493678,5636761,5789533,5955987,6162235,6215458,6330357,6859529,6872423,6937283,6780860
Ақмола,188893,186644,186927,186760,201023,202612,196863,202445,210194,211414,211539
Ақтөбе,286741,277768,268474,259414,302377,298853,297974,288554,288831,319262,323521
Алматы,717755,694913,677809,661583,503222,498304,464165,400806,360976,313466,255452
Атырау,243190,235184,227571,220690,251908,248298,241966,241017,256796,247000,247024
Батыс Қазақстан,192200,186975,182586,178470,198100,196992,198998,201382,189167,196286,192918
Жамбыл,416849,406852,399884,395561,420933,423089,401560,428359,432379,425959,436865
Қарағанды,354317,350227,347006,344483,285594,287555,268275,257694,251133,223495,205499
Қостанай,186104,186279,186332,186948,185405,187934,192970,194842,184208,180503,182916
Қызылорда,300405,290412,283057,277818,305300,303564,293663,301090,308237,299540,319660
Маңғыстау,282165,270278,259177,248504,303072,296765,304682,289579,291193,306183,326206
Павлодар,185289,183733,182016,180416,184636,186549,190701,181415,179140,176647,187046
Солтүстік Қазақстан,119676,121000,121546,122645,112680,115033,112243,108354,116095,114172,106045
Түркістан,840093,815449,799717,786293,838843,836882,811197,843416,858741,859121,851449
Шығыс Қазақстан,340251,336127,333409,332102,164418,166606,141037,102725,62160,21070,-18273
Астана қаласы,393104,374389,351925,326021,435053,411684,396510,433627,416654,445060,441093
Алматы қаласы,503994,487601,463505,437357,606397,592124,618338,642161,662701,649780,647388
Шымкент қаласы,404961,385702,365820,348613,456329,446334,443955,472674,473496,479199,467706
