2019,2020,2021,2022,2023,City,2024,2025,2026,2027,2028,2029
740.0,737.0,724.0,718.0,711.0,Қазақстан Республикасы,,,,,,
33.0,32.0,32.0,32.0,31.0,Ақмола,,,,,,
40.0,39.0,39.0,39.0,39.0,Ақтөбе,,,,,,
68.0,63.0,63.0,39.0,38.0,Алматы,,,,,,
23.0,24.0,25.0,25.0,26.0,Атырау,,,,,,
36.0,34.0,33.0,33.0,34.0,Батыс Қазақстан,,,,,,
43.0,43.0,41.0,41.0,42.0,Жамбыл,,,,,,
64.0,65.0,63.0,47.0,47.0,Қарағанды,,,,,,
35.0,34.0,34.0,34.0,33.0,Қостанай,,,,,,
30.0,30.0,30.0,30.0,28.0,Қызылорда,,,,,,
27.0,27.0,27.0,25.0,24.0,Маңғыстау,,,,,,
41.0,42.0,40.0,40.0,41.0,Павлодар,,,,,,
25.0,25.0,23.0,24.0,24.0,Солтүстік Қазақстан,,,,,,
54.0,52.0,51.0,49.0,48.0,Түркістан,,,,,,
73.0,72.0,71.0,37.0,35.0,Шығыс Қазақстан,,,,,,
34.0,32.0,31.0,30.0,30.0,Астана қаласы,,,,,,
76.0,82.0,81.0,84.0,82.0,Алматы қаласы,,,,,,
38.0,41.0,40.0,38.0,38.0,Шымкент қаласы,,,,,,
,,,,,Қазақстан Республикасы,1.0,1.0,1.0,1.0,1.0,1.0
,,,,,Ақмола,2.0,2.0,2.0,1.0,1.0,1.0
,,,,,Ақтөбе,1.0,1.0,1.0,1.0,1.0,1.0
,,,,,Алматы,1.0,1.0,0.0,0.0,0.0,0.0
,,,,,Атырау,1.0,1.0,1.0,1.0,1.0,1.0
,,,,,Батыс Қазақстан,2.0,2.0,2.0,2.0,2.0,2.0
,,,,,Жамбыл,1.0,1.0,1.0,1.0,1.0,1.0
,,,,,Қарағанды,1.0,1.0,1.0,1.0,1.0,1.0
,,,,,Қостанай,2.0,2.0,2.0,2.0,2.0,2.0
,,,,,Қызылорда,1.0,1.0,1.0,1.0,1.0,1.0
,,,,,Маңғыстау,1.0,1.0,1.0,1.0,1.0,1.0
,,,,,Павлодар,2.0,2.0,2.0,2.0,2.0,2.0
,,,,,Солтүстік Қазақстан,2.0,2.0,2.0,2.0,2.0,2.0
,,,,,Түркістан,1.0,1.0,1.0,1.0,1.0,1.0
,,,,,Шығыс Қазақстан,2.0,2.0,1.0,1.0,1.0,1.0
,,,,,Астана қаласы,1.0,1.0,1.0,1.0,1.0,1.0
,,,,,Алматы қаласы,2.0,2.0,2.0,2.0,2.0,2.0
,,,,,Шымкент қаласы,1.0,1.0,1.0,1.0,1.0,1.0
