2019,2020,2021,2022,2023,City,2024,2025,2026,2027,2028,2029
10583.0,10650.0,10871.0,11104.0,11346.0,Қазақстан Республикасы,,,,,,
609.0,601.0,599.0,603.0,601.0,Ақмола,,,,,,
533.0,546.0,559.0,575.0,606.0,Ақтөбе,,,,,,
1163.0,1201.0,1392.0,1142.0,1148.0,Алматы,,,,,,
330.0,331.0,319.0,326.0,334.0,Атырау,,,,,,
510.0,515.0,521.0,527.0,533.0,Батыс Қазақстан,,,,,,
540.0,547.0,553.0,567.0,587.0,Жамбыл,,,,,,
536.0,533.0,519.0,411.0,409.0,Қарағанды,,,,,,
593.0,579.0,566.0,538.0,519.0,Қостанай,,,,,,
666.0,665.0,668.0,680.0,680.0,Қызылорда,,,,,,
302.0,311.0,331.0,348.0,373.0,Маңғыстау,,,,,,
394.0,376.0,380.0,381.0,381.0,Павлодар,,,,,,
490.0,483.0,473.0,465.0,458.0,Солтүстік Қазақстан,,,,,,
1388.0,1413.0,1422.0,1369.0,1406.0,Түркістан,,,,,,
786.0,792.0,787.0,399.0,385.0,Шығыс Қазақстан,,,,,,
381.0,408.0,377.0,432.0,524.0,Астана қаласы,,,,,,
869.0,825.0,860.0,899.0,947.0,Алматы қаласы,,,,,,
493.0,524.0,545.0,589.0,603.0,Шымкент қаласы,,,,,,
,,,,,Қазақстан Республикасы,18.0,18.0,18.0,18.0,17.0,17.0
,,,,,Ақмола,32.0,31.0,30.0,29.0,30.0,29.0
,,,,,Ақтөбе,23.0,23.0,23.0,24.0,25.0,26.0
,,,,,Алматы,24.0,24.0,26.0,28.0,28.0,31.0
,,,,,Атырау,15.0,14.0,14.0,14.0,14.0,14.0
,,,,,Батыс Қазақстан,30.0,29.0,30.0,30.0,30.0,30.0
,,,,,Жамбыл,15.0,15.0,16.0,16.0,16.0,16.0
,,,,,Қарағанды,13.0,13.0,12.0,11.0,11.0,11.0
,,,,,Қостанай,28.0,26.0,25.0,25.0,24.0,23.0
,,,,,Қызылорда,24.0,25.0,25.0,25.0,25.0,25.0
,,,,,Маңғыстау,14.0,15.0,16.0,16.0,17.0,17.0
,,,,,Павлодар,22.0,21.0,21.0,21.0,21.0,21.0
,,,,,Солтүстік Қазақстан,39.0,40.0,39.0,39.0,39.0,39.0
,,,,,Түркістан,18.0,17.0,18.0,18.0,18.0,18.0
,,,,,Шығыс Қазақстан,19.0,17.0,16.0,15.0,14.0,13.0
,,,,,Астана қаласы,13.0,15.0,15.0,16.0,17.0,17.0
,,,,,Алматы қаласы,18.0,18.0,18.0,19.0,19.0,18.0
,,,,,Шымкент қаласы,16.0,16.0,17.0,18.0,18.0,19.0
