2019,2020,2021,2022,2023,City,2024,2025,2026,2027,2028,2029
7393.0,7398.0,7440.0,7550.0,7687.0,Қазақстан Республикасы,,,,,,
579.0,575.0,572.0,569.0,559.0,Ақмола,,,,,,
415.0,418.0,422.0,426.0,426.0,Ақтөбе,,,,,,
783.0,791.0,793.0,800.0,464.0,Алматы,,,,,,
203.0,207.0,208.0,213.0,220.0,Атырау,,,,,,
392.0,390.0,388.0,383.0,381.0,Батыс Қазақстан,,,,,,
461.0,461.0,467.0,484.0,501.0,Жамбыл,,,,,,
542.0,537.0,535.0,530.0,437.0,Қарағанды,,,,,,
523.0,516.0,507.0,496.0,476.0,Қостанай,,,,,,
310.0,314.0,314.0,323.0,331.0,Қызылорда,,,,,,
160.0,155.0,163.0,172.0,186.0,Маңғыстау,,,,,,
373.0,368.0,367.0,371.0,371.0,Павлодар,,,,,,
496.0,486.0,480.0,474.0,467.0,Солтүстік Қазақстан,,,,,,
919.0,920.0,930.0,963.0,1004.0,Түркістан,,,,,,
687.0,679.0,677.0,676.0,361.0,Шығыс Қазақстан,,,,,,
112.0,118.0,133.0,147.0,164.0,Астана қаласы,,,,,,
282.0,290.0,300.0,317.0,333.0,Алматы қаласы,,,,,,
156.0,173.0,184.0,206.0,251.0,Шымкент қаласы,,,,,,
,,,,,Қазақстан Республикасы,13.0,12.0,12.0,12.0,12.0,11.0
,,,,,Ақмола,29.0,29.0,28.0,28.0,26.0,26.0
,,,,,Ақтөбе,15.0,16.0,16.0,16.0,16.0,16.0
,,,,,Алматы,10.0,10.0,10.0,10.0,9.0,9.0
,,,,,Атырау,10.0,10.0,10.0,10.0,11.0,11.0
,,,,,Батыс Қазақстан,21.0,21.0,21.0,20.0,20.0,20.0
,,,,,Жамбыл,12.0,13.0,13.0,14.0,14.0,14.0
,,,,,Қарағанды,16.0,16.0,16.0,16.0,16.0,16.0
,,,,,Қостанай,26.0,25.0,25.0,24.0,24.0,23.0
,,,,,Қызылорда,12.0,12.0,12.0,12.0,13.0,13.0
,,,,,Маңғыстау,7.0,7.0,7.0,8.0,8.0,8.0
,,,,,Павлодар,20.0,21.0,21.0,21.0,21.0,21.0
,,,,,Солтүстік Қазақстан,41.0,41.0,40.0,40.0,40.0,41.0
,,,,,Түркістан,13.0,13.0,13.0,14.0,14.0,14.0
,,,,,Шығыс Қазақстан,22.0,22.0,23.0,23.0,24.0,24.0
,,,,,Астана қаласы,5.0,5.0,5.0,6.0,6.0,6.0
,,,,,Алматы қаласы,7.0,7.0,7.0,7.0,7.0,7.0
,,,,,Шымкент қаласы,7.0,7.0,8.0,8.0,8.0,9.0
