2019,2020,2021,2022,2023,City,2024,2025,2026,2027,2028,2029
338755.0,347052.0,366666.0,369696.0,361318.0,Қазақстан Республикасы,,,,,,
15417.0,15427.0,16026.0,16092.0,16478.0,Ақмола,,,,,,
17816.0,17975.0,19134.0,19257.0,20209.0,Ақтөбе,,,,,,
39325.0,41735.0,44280.0,44494.0,31874.0,Алматы,,,,,,
11124.0,11502.0,12248.0,12233.0,12872.0,Атырау,,,,,,
14641.0,14602.0,15476.0,15486.0,15920.0,Батыс Қазақстан,,,,,,
25729.0,25986.0,27438.0,27733.0,28327.0,Жамбыл,,,,,,
20342.0,20575.0,21443.0,21391.0,17642.0,Қарағанды,,,,,,
13846.0,13755.0,14150.0,14403.0,14297.0,Қостанай,,,,,,
20220.0,20849.0,21681.0,21767.0,22935.0,Қызылорда,,,,,,
11489.0,12284.0,13566.0,13719.0,15484.0,Маңғыстау,,,,,,
12934.0,12986.0,13569.0,13633.0,13822.0,Павлодар,,,,,,
12035.0,11769.0,12109.0,12249.0,12503.0,Солтүстік Қазақстан,,,,,,
23546.0,55828.0,58574.0,59740.0,65698.0,Түркістан,,,,,,
54020.0,23568.0,24187.0,24322.0,12084.0,Шығыс Қазақстан,,,,,,
9867.0,10620.0,11993.0,12075.0,15167.0,Астана қаласы,,,,,,
20529.0,20959.0,22763.0,22791.0,25274.0,Алматы қаласы,,,,,,
15875.0,16632.0,18029.0,18311.0,20732.0,Шымкент қаласы,,,,,,
,,,,,Қазақстан Республикасы,604.0,603.0,590.0,585.0,595.0,595.0
,,,,,Ақмола,874.0,860.0,888.0,869.0,876.0,892.0
,,,,,Ақтөбе,746.0,767.0,795.0,802.0,848.0,841.0
,,,,,Алматы,699.0,742.0,750.0,771.0,798.0,854.0
,,,,,Атырау,589.0,599.0,603.0,638.0,634.0,673.0
,,,,,Батыс Қазақстан,875.0,912.0,899.0,932.0,961.0,956.0
,,,,,Жамбыл,720.0,769.0,786.0,774.0,797.0,806.0
,,,,,Қарағанды,667.0,666.0,688.0,701.0,694.0,713.0
,,,,,Қостанай,817.0,801.0,808.0,838.0,830.0,847.0
,,,,,Қызылорда,838.0,851.0,858.0,882.0,922.0,954.0
,,,,,Маңғыстау,595.0,618.0,657.0,681.0,735.0,746.0
,,,,,Павлодар,814.0,817.0,817.0,845.0,840.0,892.0
,,,,,Солтүстік Қазақстан,1109.0,1123.0,1135.0,1208.0,1237.0,1224.0
,,,,,Түркістан,996.0,1129.0,1242.0,1302.0,1471.0,1575.0
,,,,,Шығыс Қазақстан,407.0,236.0,59.0,-111.0,-282.0,-454.0
,,,,,Астана қаласы,423.0,443.0,470.0,506.0,520.0,559.0
,,,,,Алматы қаласы,504.0,519.0,512.0,542.0,546.0,545.0
,,,,,Шымкент қаласы,535.0,556.0,582.0,607.0,619.0,659.0
