2019,2020,2021,2022,2023,City,2024,2025,2026,2027,2028,2029
402310.0,426824.0,446491.0,403893.0,388428.0,Республика Казахстан ,,,,,,
0.0,0.0,0.0,10833.0,9930.0,,,,,,,
12265.0,12506.0,12856.0,11561.0,10901.0,Акмолинская,,,,,,
20493.0,21287.0,22153.0,19302.0,19206.0,Актюбинская,,,,,,
50502.0,54355.0,55186.0,34979.0,33607.0,Алматинская,,,,,,
16980.0,18002.0,18428.0,17161.0,16548.0,Атырауская,,,,,,
13130.0,13670.0,14241.0,12536.0,12010.0,Западно-Казахстанская,,,,,,
27041.0,29171.0,30475.0,26723.0,25872.0,Жамбылская,,,,,,
0.0,0.0,0.0,14111.0,13325.0,,,,,,,
23034.0,23423.0,23987.0,16812.0,16343.0,Карагандинская,,,,,,
11448.0,11671.0,11174.0,10355.0,9670.0,Костанайская,,,,,,
19347.0,21780.0,23682.0,20769.0,20010.0,Кызылординская,,,,,,
20459.0,21734.0,23349.0,21581.0,20780.0,Мангистауская,,,,,,
11558.0,11771.0,11667.0,10655.0,9838.0,Павлодарская,,,,,,
6872.0,6879.0,6489.0,5879.0,5554.0,Северо-Казахстанская,,,,,,
55738.0,61258.0,65059.0,58214.0,55775.0,Туркестанская*,,,,,,
0.0,0.0,0.0,4586.0,4416.0,,,,,,,
21854.0,22514.0,23061.0,9483.0,8718.0,Восточно-Казахстанская,,,,,,
28736.0,29565.0,31395.0,30302.0,29415.0,г. Астана,,,,,,
34308.0,35526.0,37922.0,36110.0,35488.0,г. Алматы,,,,,,
28545.0,31712.0,35367.0,31941.0,31022.0,г. Шымкент,,,,,,
,,,,,Республика Казахстан ,393383.0,411038.0,397249.0,386953.0,365097.0,360201.0
,,,,,Акмолинская,10842.0,10328.0,10295.0,9460.0,9250.0,8958.0
,,,,,Актюбинская,18747.0,17914.0,18544.0,17647.0,16643.0,16833.0
,,,,,Алматинская,30068.0,25491.0,18355.0,13406.0,8123.0,3137.0
,,,,,Атырауская,16076.0,17270.0,16914.0,16776.0,16671.0,15376.0
,,,,,Западно-Казахстанская,11645.0,12019.0,11728.0,11161.0,11047.0,10412.0
,,,,,Жамбылская,25704.0,24845.0,24928.0,24138.0,25559.0,24768.0
,,,,,Карагандинская,15190.0,13182.0,10195.0,8733.0,6669.0,4594.0
,,,,,Костанайская,9200.0,8502.0,8520.0,7943.0,7119.0,6812.0
,,,,,Кызылординская,21495.0,21320.0,20403.0,22021.0,20956.0,20700.0
,,,,,Мангистауская,21382.0,20934.0,22752.0,22699.0,21392.0,22323.0
,,,,,Павлодарская,10108.0,9535.0,8945.0,8016.0,7641.0,7750.0
,,,,,Северо-Казахстанская,5152.0,5000.0,4584.0,4298.0,3849.0,3449.0
,,,,,Туркестанская*,56541.0,59311.0,56458.0,54695.0,57961.0,54998.0
,,,,,Восточно-Казахстанская,5522.0,1379.0,-2442.0,-6492.0,-10839.0,-14597.0
,,,,,г. Астана,31455.0,31673.0,32065.0,32426.0,31385.0,31563.0
,,,,,г. Алматы,35969.0,37385.0,35590.0,35896.0,39155.0,37692.0
,,,,,г. Шымкент,33327.0,33192.0,35322.0,34029.0,35130.0,34352.0
