2019,2020,2021,2022,2023,City,2024,2025,2026,2027,2028,2029
32970.0,17718.0,21217.0,6722.0,9293.0,Республика Казахстан ,,,,,,
0.0,0.0,0.0,7063.0,7141.0,,,,,,,
6807.0,5155.0,5049.0,2085.0,4056.0,Акмолинская,,,,,,
2804.0,1647.0,2583.0,2248.0,2158.0,Актюбинская,,,,,,
20135.0,15975.0,7535.0,1909.0,994.0,Алматинская,,,,,,
1890.0,1444.0,2436.0,1754.0,2056.0,Атырауская,,,,,,
3079.0,2551.0,2147.0,2207.0,1444.0,Западно-Казахстанская,,,,,,
14995.0,10939.0,9259.0,10971.0,14194.0,Жамбылская,,,,,,
0.0,0.0,0.0,9186.0,9099.0,,,,,,,
11270.0,8889.0,10377.0,5448.0,5133.0,Карагандинская,,,,,,
6716.0,5074.0,5708.0,4923.0,3553.0,Костанайская,,,,,,
5624.0,4735.0,4635.0,5837.0,7196.0,Кызылординская,,,,,,
3192.0,3246.0,2451.0,2683.0,2224.0,Мангистауская,,,,,,
5865.0,4224.0,5300.0,4706.0,3917.0,Павлодарская,,,,,,
5943.0,4387.0,4755.0,4641.0,3656.0,Северо-Казахстанская,,,,,,
13325.0,19673.0,21045.0,17752.0,22759.0,Туркестанская*,,,,,,
0.0,0.0,0.0,2108.0,2373.0,,,,,,,
16543.0,11829.0,11676.0,3739.0,3864.0,Восточно-Казахстанская,,,,,,
33366.0,24865.0,30906.0,33837.0,51539.0,г. Астана,,,,,,
40098.0,39350.0,27901.0,36528.0,43210.0,г. Алматы,,,,,,
5370.0,11343.0,10030.0,2989.0,3925.0,г. Шымкент,,,,,,
,,,,,Республика Казахстан ,82.0,-5590.0,-11222.0,-16874.0,-22806.0,-29168.0
,,,,,Акмолинская,2081.0,1162.0,329.0,-536.0,-1434.0,-2296.0
,,,,,Актюбинская,2090.0,1948.0,2034.0,1925.0,1884.0,1804.0
,,,,,Алматинская,-6165.0,-11981.0,-16147.0,-23175.0,-28078.0,-31588.0
,,,,,Атырауская,2069.0,2135.0,2288.0,2333.0,2457.0,2423.0
,,,,,Западно-Казахстанская,1179.0,841.0,498.0,114.0,-242.0,-621.0
,,,,,Жамбылская,11957.0,11897.0,11081.0,10696.0,10674.0,10737.0
,,,,,Карагандинская,3461.0,2029.0,383.0,-1176.0,-2776.0,-4262.0
,,,,,Костанайская,3308.0,2672.0,1905.0,1338.0,652.0,13.0
,,,,,Кызылординская,6979.0,7066.0,7876.0,8061.0,8952.0,8676.0
,,,,,Мангистауская,2090.0,1783.0,1485.0,1241.0,1033.0,790.0
,,,,,Павлодарская,3797.0,3503.0,3142.0,2678.0,2464.0,2017.0
,,,,,Северо-Казахстанская,3513.0,2987.0,2591.0,2085.0,1665.0,1219.0
,,,,,Туркестанская*,23823.0,26888.0,28654.0,30106.0,30141.0,32095.0
,,,,,Восточно-Казахстанская,-523.0,-3942.0,-7336.0,-10752.0,-13688.0,-16873.0
,,,,,г. Астана,47895.0,50877.0,58012.0,59212.0,66396.0,71460.0
,,,,,г. Алматы,36715.0,38900.0,39277.0,40001.0,40699.0,42049.0
,,,,,г. Шымкент,3243.0,2178.0,1115.0,-15.0,-1158.0,-2214.0
