City,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,Accuracy
Республика Казахстан,18395567,18631779,18879552,19503159,19766807,20033842,20293345,20546171,20784976,21007947,21211185,-0.03
Акмолинская,738587,736735,735566,785708,788013,787976,798059,802118,804484,805914,806746,0.73
Актюбинская,869637,881651,894333,916750,928159,939405,956924,971816,985574,998592,1011709,0.41
Алматинская,2038935,2055724,2077967,1478496,1505896,1531167,1527383,1523575,1509558,1486869,1457132,-0.66
Атырауская,633791,645280,657110,681241,693079,704074,723611,739292,755100,771156,786098,0.5
Западно-Казахстанская,652325,656844,661316,683327,688127,693261,702483,709489,715625,721458,726095,0.28
Жамбылская,1125440,1130099,1139192,1209665,1218158,1222593,1277092,1305661,1333711,1362891,1391800,2.08
Карагандинская,1378532,1376882,1375938,1134966,1134855,1135351,1148390,1149526,1149125,1145844,1139829,0.67
Костанайская,872795,868549,864550,835686,832234,829984,838238,840629,841882,841534,841102,0.66
Кызылординская,794335,803531,814588,823251,833666,841929,881576,905430,931510,957350,982913,1.88
Мангистауская,678199,698796,719571,745909,767106,786837,806428,827390,848217,867644,887580,0.03
Павлодарская,753853,752169,751012,756511,754944,753933,767281,772521,776178,779900,783380,0.97
Северо-Казахстанская,554517,548755,543735,539111,534104,530089,539145,540905,542160,542458,542478,1.29
Туркестанская*,1983969,2016037,2044742,2088510,2119226,2142172,2264804,2340031,2415828,2495600,2573948,2.18
Восточно-Казахстанская,1378527,1369597,1363797,732966,730238,727053,720712,707904,689659,666181,637846,0.15
г. Астана,1078384,1136156,1184411,1295711,1354556,1430117,1504049,1587745,1672815,1763839,1860341,-0.17
г. Алматы,1854656,1916822,1977258,2101485,2161902,2228677,2285705,2347855,2411999,2479896,2548589,-0.29
г. Шымкент,1009085,1038152,1074466,1162308,1192199,1222066,1253377,1284438,1313275,1342338,1369804,0.12
