2019,2020,2021,2022,2023,City,2024,2025,2026,2027,2028,2029
179837.0,185757.0,188800.0,175617.0,174817.0,Республика Казахстан,,,,,,
6361.0,6497.0,6557.0,6438.0,6344.0,Акмолинская,,,,,,
8093.0,8150.0,8108.0,9523.0,9513.0,Актюбинская,,,,,,
15534.0,16276.0,17290.0,10692.0,10624.0,Алматинская,,,,,,
5733.0,6117.0,6248.0,6283.0,6344.0,Атырауская,,,,,,
6952.0,7094.0,7207.0,7198.0,7138.0,Западно-Казахстанская,,,,,,
11474.0,11535.0,12105.0,12470.0,12373.0,Жамбылская,,,,,,
13766.0,14034.0,14033.0,11695.0,11323.0,Карагандинская,,,,,,
7081.0,7141.0,6998.0,6816.0,6800.0,Костанайская,,,,,,
10402.0,10601.0,10721.0,10854.0,11238.0,Кызылординская,,,,,,
7150.0,7412.0,7518.0,7629.0,7430.0,Мангистауская,,,,,,
7002.0,7174.0,7107.0,7078.0,7074.0,Павлодарская,,,,,,
5875.0,5839.0,5713.0,5544.0,5429.0,Северо-Казахстанская,,,,,,
19220.0,20036.0,20292.0,21048.0,21163.0,Туркестанская*,,,,,,
14965.0,15707.0,15297.0,8240.0,7821.0,Восточно-Казахстанская,,,,,,
12196.0,12557.0,13078.0,13564.0,13794.0,г. Астана,,,,,,
18858.0,19477.0,19987.0,19659.0,19353.0,г. Алматы,,,,,,
9175.0,10110.0,10541.0,10886.0,11056.0,г. Шымкент,,,,,,
,,,,,Республика Казахстан,870.0,875.0,835.0,810.0,755.0,761.0
,,,,,Акмолинская,817.0,793.0,788.0,752.0,740.0,725.0
,,,,,Актюбинская,1088.0,1096.0,1120.0,1201.0,1234.0,1256.0
,,,,,Алматинская,710.0,722.0,681.0,676.0,646.0,634.0
,,,,,Атырауская,955.0,969.0,930.0,935.0,927.0,940.0
,,,,,Западно-Казахстанская,1048.0,1073.0,1027.0,1065.0,1046.0,1008.0
,,,,,Жамбылская,1049.0,1037.0,1076.0,1064.0,1049.0,1035.0
,,,,,Карагандинская,1022.0,1053.0,1057.0,1047.0,1059.0,1046.0
,,,,,Костанайская,829.0,838.0,855.0,828.0,835.0,850.0
,,,,,Кызылординская,1388.0,1412.0,1415.0,1381.0,1437.0,1420.0
,,,,,Мангистауская,1007.0,987.0,926.0,928.0,902.0,872.0
,,,,,Павлодарская,957.0,985.0,985.0,951.0,962.0,953.0
,,,,,Северо-Казахстанская,1053.0,1007.0,990.0,995.0,1006.0,958.0
,,,,,Туркестанская*,1047.0,1049.0,1034.0,1080.0,1061.0,1061.0
,,,,,Восточно-Казахстанская,1130.0,1099.0,1121.0,1100.0,1124.0,1076.0
,,,,,г. Астана,1037.0,995.0,964.0,922.0,887.0,893.0
,,,,,г. Алматы,917.0,878.0,839.0,784.0,754.0,748.0
,,,,,г. Шымкент,971.0,978.0,976.0,956.0,979.0,956.0
