2019,2020,2021,2022,2023,City,2024,2025,2026,2027,2028,2029
749.0,773.0,773.0,818.0,872.0,Республика Казахстан,,,,,,
27.0,29.0,29.0,32.0,32.0,Акмолинская,,,,,,
44.0,44.0,44.0,42.0,42.0,Актюбинская,,,,,,
79.0,82.0,82.0,44.0,44.0,Алматинская,,,,,,
28.0,29.0,29.0,32.0,32.0,Атырауская,,,,,,
29.0,29.0,29.0,30.0,30.0,Западно-Казахстанская,,,,,,
47.0,47.0,47.0,52.0,56.0,Жамбылская,,,,,,
72.0,75.0,75.0,61.0,53.0,Карагандинская,,,,,,
39.0,42.0,42.0,43.0,42.0,Костанайская,,,,,,
36.0,33.0,33.0,33.0,36.0,Кызылординская,,,,,,
26.0,31.0,31.0,35.0,34.0,Мангистауская,,,,,,
35.0,36.0,36.0,38.0,40.0,Павлодарская,,,,,,
22.0,24.0,24.0,24.0,25.0,Северо-Казахстанская,,,,,,
39.0,43.0,43.0,47.0,56.0,Туркестанская*,,,,,,
62.0,61.0,61.0,31.0,30.0,Восточно-Казахстанская,,,,,,
36.0,37.0,37.0,32.0,45.0,г. Астана,,,,,,
92.0,91.0,91.0,77.0,88.0,г. Алматы,,,,,,
36.0,40.0,40.0,88.0,101.0,г. Шымкент,,,,,,
,,,,,Республика Казахстан,4.0,5.0,5.0,5.0,5.0,5.0
,,,,,Акмолинская,4.0,4.0,4.0,5.0,5.0,5.0
,,,,,Актюбинская,4.0,4.0,4.0,4.0,4.0,4.0
,,,,,Алматинская,3.0,2.0,2.0,2.0,2.0,1.0
,,,,,Атырауская,5.0,5.0,5.0,5.0,5.0,5.0
,,,,,Западно-Казахстанская,4.0,4.0,4.0,4.0,4.0,4.0
,,,,,Жамбылская,5.0,5.0,5.0,5.0,5.0,5.0
,,,,,Карагандинская,5.0,5.0,5.0,5.0,5.0,4.0
,,,,,Костанайская,5.0,6.0,6.0,6.0,6.0,6.0
,,,,,Кызылординская,4.0,4.0,4.0,4.0,4.0,4.0
,,,,,Мангистауская,5.0,5.0,5.0,5.0,5.0,6.0
,,,,,Павлодарская,5.0,6.0,6.0,6.0,6.0,6.0
,,,,,Северо-Казахстанская,5.0,5.0,5.0,5.0,5.0,6.0
,,,,,Туркестанская*,3.0,3.0,3.0,3.0,3.0,4.0
,,,,,Восточно-Казахстанская,4.0,4.0,4.0,4.0,4.0,4.0
,,,,,г. Астана,3.0,3.0,3.0,3.0,3.0,3.0
,,,,,г. Алматы,4.0,3.0,3.0,3.0,2.0,2.0
,,,,,г. Шымкент,10.0,11.0,12.0,14.0,15.0,16.0
