Численность населения по однолетним возрастам (по годам) и по регионам,,,,,,,,,,,,,,,,,,,,,,,,
,2019,,,,2020,,,,2021,,,,2022,,,,2023,,,,2024,,,
,Барлық халық,0-15,16-62(58),63(59)+,Барлық халық,0-15,16-62(58),63(59)+,Барлық халық,0-15,16-62(59),63(60)+,Барлық халық,0-15,16-62(59),63(60)+,Барлық халық,0-15,16-62(60),63(61)+,Барлық халық,0-15,16-62(60),63(61)+
Қазақстан Республикасы,18395567,5493678,10871678,2030211,18631779,5636761,10874656,2120362,18879552,5789533,11009372,2080647,19122423,5955987,11030989,2135447,19766807,6162235,11359923,2244649,20033842,6215458,11463066,2355318
Абай,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,607589,169405,345464,92720,610198,170980,349445,89773
Ақмола,733900,188893,438212,106795,735566,186644,443921,105001,736735,186927,442158,107650,738587,186760,447220,104607,787981,201023,465703,121255,788013,202612,468228,117173
Ақтөбе,906201,286741,526600,92860,894333,277768,527029,89536,881651,268474,522184,90993,869637,259414,523560,86663,939405,302377,535142,101886,928159,298853,532674,96632
Алматы,2107166,717755,1168239,221172,2077967,694913,1168192,214862,2055724,677809,1159969,217946,2038934,661583,1169073,208278,1531167,503222,868829,159116,1505896,498304,856863,150729
Атырау,668090,243190,370213,54687,657110,235184,369197,52729,645280,227571,364028,53681,633791,220690,362310,50791,704074,251908,390273,61893,693079,248298,386705,58076
Батыс Қазақстан,665854,192200,389312,84342,661316,186975,391978,82363,656844,182586,390026,84232,652325,178470,392888,80967,693262,198100,401595,93567,688127,196992,402014,89121
Жамбыл,1149914,416849,622820,110245,1139192,406852,623975,108365,1130099,399884,618759,111456,1125442,395561,622462,107419,1222593,420933,672359,129301,1218158,423089,671298,123771
Жетісу,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,697987,222016,387964,88007,698726,223556,390529,84641
Қарағанды,1371914,354317,816420,201177,1375938,350227,827184,198527,1376882,347006,825820,204056,1378533,344483,835747,198303,1135351,285594,669283,180474,1134855,287555,672683,174617
Қостанай,857858,186104,529124,142630,864550,186279,537736,140535,868549,186332,538489,143728,872795,186948,546818,139029,829984,185405,499164,145415,832234,187934,504132,140168
Қызылорда,827923,300405,458670,68848,814588,290412,457970,66206,803531,283057,452602,67872,794334,277818,451951,64565,841931,305300,460958,75673,833666,303564,458297,71805
Маңғыстау,740893,282165,405858,52870,719571,270278,399077,50216,698796,259177,389117,50502,678199,248504,382756,46939,786841,303072,425173,58596,767106,296765,415671,54670
Павлодар,747057,185289,447888,113880,751012,183733,454886,112393,752169,182016,454768,115385,753853,180416,462054,111383,753934,184636,446109,123189,754944,186549,449911,118484
Солтүстік Қазақстан,537048,119676,318129,99243,543735,121000,324544,98191,548755,121546,326461,100748,554517,122645,333739,98133,530089,112680,314521,102888,534104,115033,319499,99572
Түркістан,2075132,840093,1085391,149648,2044742,815449,1084661,144632,2016037,799717,1068281,148039,1983967,786293,1056925,140749,2142171,838843,1135699,167629,2119224,836882,1123825,158517
Ұлытау,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,221584,68747,125759,27078,221421,68521,126647,26253
Шығыс Қазақстан,1356399,340251,792062,224086,1363797,336127,805643,222027,1369597,333409,808322,227866,1378527,332102,824879,221546,727053,164418,417601,145034,730238,166606,422610,141022
Астана қаласы,1239744,393104,746541,100099,1184411,374389,718071,91951,1136156,351925,694254,89977,1078384,326021,671977,80386,1430105,435053,873770,121282,1354559,411684,833686,109189
Алматы қаласы,2024861,503994,1289449,231418,1977258,487601,1264486,225171,1916822,463505,1226014,227303,1854656,437357,1200889,216410,2228675,606397,1355307,266971,2161901,592124,1316830,252947
Шымкент қаласы,1112469,404961,626061,81447,1074466,385702,610822,77942,1038152,365820,593404,78928,1009086,348613,586430,74043,1222066,456329,672393,93344,1192199,446334,658376,87489
